regulation_id,region_id
reg_tr_ppp,reg_konya
reg_tr_ppp,reg_cukurova
reg_tr_ppp,reg_ege
reg_tr_ppp,reg_karadeniz
reg_tr_ppp,reg_gap
reg_tr_organic_5262,reg_konya
reg_tr_organic_5262,reg_cukurova
reg_tr_organic_5262,reg_ege
reg_tr_organic_5262,reg_karadeniz
reg_tr_organic_5262,reg_gap
reg_eu_396_2005,reg_cukurova
reg_eu_396_2005,reg_ege
reg_eu_396_2005,reg_karadeniz
reg_eu_396_2005,reg_gap
reg_eu_2020_18,reg_cukurova
reg_eu_2020_18,reg_ege
reg_eu_2020_18,reg_karadeniz
reg_eu_2018_848,reg_ege
reg_eu_2018_848,reg_karadeniz
